id,latitude,longitude,district_group,district,price
17846955,37.37911,-6.00052,Triana,Triana Este,62.0
17857671,37.3558,-5.97573,Palmera - Bellavista,"Pedro Salvador, Las Palmeritas",100.0
17872360,37.38708,-5.99241,Casco Antiguo,Santa Cruz,104.0
17888930,37.394321,-5.994839,Casco Antiguo,"Encarnación, Regina",88.0
17896667,37.38561,-5.99248,Casco Antiguo,Santa Cruz,129.0
17900343,37.39608,-5.9858,Casco Antiguo,San Julián,95.0
17903817,37.40122,-5.99334,Casco Antiguo,San Gil,88.0
17904051,37.38911,-5.98629,Casco Antiguo,San Bartolomé,98.0
17904705,37.3936,-5.98942,Casco Antiguo,"Encarnación, Regina",153.0
17906594,37.38688,-6.00576,Triana,Triana Casco Antiguo,58.0
17921432,37.3938,-5.98673,Casco Antiguo,Santa Catalina,123.0
17922271,37.40179355537302,-5.989358837161049,Casco Antiguo,San Gil,45.0
17923984,37.40106,-5.99351,Casco Antiguo,San Gil,89.0
17924668,37.38898,-5.98803,Casco Antiguo,San Bartolomé,160.0
17943249,37.39219,-5.99476,Casco Antiguo,Alfalfa,146.0
17950270,37.39679,-5.98962,Casco Antiguo,Feria,69.0
17951292,37.37817,-5.99778,Los Remedios,Los Remedios,124.0
17954344,37.39813,-5.99021,Casco Antiguo,Feria,72.0
17967051,37.37701,-6.00497,Triana,Triana Este,108.0
17968535,37.38692,-5.9984,Casco Antiguo,Arenal,194.0
17969883,37.38864,-5.98538,Casco Antiguo,San Bartolomé,95.0
17970701,37.38643,-5.99402,Casco Antiguo,Santa Cruz,399.0
17977809,37.4022,-5.99525,Casco Antiguo,San Lorenzo,54.0
17979937,37.3859,-6.01288,Triana,Triana Oeste,74.0
17994276,37.39202,-5.99064,Casco Antiguo,Alfalfa,37.0
17999915,37.38973,-5.98159,Nervión,an Roque,72.0
18017594,37.38828,-5.99125,Casco Antiguo,Santa Cruz,136.0
18017786,37.38783,-5.99914,Casco Antiguo,Arenal,232.0
18021732,37.39218,-5.99455,Casco Antiguo,Alfalfa,163.0
18026600,37.3848,-5.97989,Nervión,Huerta del Pilar,116.0
18035659,37.38989,-5.9991,Casco Antiguo,Museo,138.0
18037820,37.38974,-5.99748,Casco Antiguo,Alfalfa,386.0
18046536,37.40027,-5.99323,Casco Antiguo,San Gil,59.0
18063065,37.38633,-5.99024,Casco Antiguo,Santa Cruz,271.0
18066800,37.39573,-5.99124,Casco Antiguo,Feria,163.0
